Rays,Angles,RMS per-pixel error
10,10,58.66013889267482
10,11,58.688822347443335
10,12,57.26034913491603
10,13,56.305436254562665
10,14,56.442304650208214
10,15,54.93730870505031
10,16,54.259511386033644
10,17,54.46251749422811
10,18,52.729789496419585
10,19,53.12792042102226
10,20,52.57792662721524
10,21,51.77224329134123
10,22,52.1804170659309
10,23,51.36520151214368
10,24,51.502648971190574
10,25,51.32506645541792
10,26,50.56783079361324
10,27,50.851361375743444
10,28,49.852194287681286
10,29,50.31246428820151
10,30,49.734012268234046
10,31,49.65968852665023
10,32,49.59212086031766
10,33,49.352875675840416
10,34,48.82498185229339
10,35,49.22647111952529
10,36,48.842986129689734
10,37,48.87963946412344
10,38,48.87531284509862
10,39,48.811305784181044
10,40,48.616121036865344
11,10,60.52189261013525
11,11,60.1651613920559
11,12,59.5868579445451
11,13,58.98966078096392
11,14,58.242675564895386
11,15,57.469186946987065
11,16,57.19032053889245
11,17,56.561391201961904
11,18,56.32516519601298
11,19,55.88876595331672
11,20,55.60592318799811
11,21,55.29843544571165
11,22,55.20364095080387
11,23,54.603352310137595
11,24,54.79152409333221
11,25,54.18057292460415
11,26,54.44032628019888
11,27,53.83650745586454
11,28,54.11504256151451
11,29,53.70364617394568
11,30,53.963952728643875
11,31,53.419144705857384
11,32,53.64872688054538
11,33,53.240385840546445
11,34,53.17546688256995
11,35,52.93592187315016
11,36,52.86348802187894
11,37,52.860936022817725
11,38,52.56693995521254
11,39,52.793359811041675
11,40,52.42464167036984
12,10,58.895431656252114
12,11,58.01556813337713
12,12,57.501368564610324
12,13,56.16802862935825
12,14,56.09738183660719
12,15,55.18505443067842
12,16,54.02772759441678
12,17,54.3543247176007
12,18,53.044300292034464
12,19,53.65450995556771
12,20,52.62283653709079
12,21,52.53644414008132
12,22,51.928256027803855
12,23,51.71836384448816
12,24,51.0653756139346
12,25,50.75263877889773
12,26,50.501003845585316
12,27,50.08107250767869
12,28,50.295697488145
12,29,49.46487067993643
12,30,49.6226666163633
12,31,49.465078056790595
12,32,49.15509216288815
12,33,49.14453335158077
12,34,48.8954227701041
12,35,48.89239397476786
12,36,48.70499106654312
12,37,48.81532355759351
12,38,48.373589455547496
12,39,48.72709044029077
12,40,48.22637058722697
13,10,60.322535535524835
13,11,58.81741634257377
13,12,59.12907439896393
13,13,57.37638085560518
13,14,58.04870664790137
13,15,56.06506348197692
13,16,56.41636584636586
13,17,55.42011153403931
13,18,55.55980681112142
13,19,54.366708865884675
13,20,55.04131501024064
13,21,53.65034671987495
13,22,54.6240900536767
13,23,53.2762334304091
13,24,53.94038221761097
13,25,53.01783874090584
13,26,53.11940163119448
13,27,52.63032298812482
13,28,53.17540085003507
13,29,52.336767670693845
13,30,52.77799680164383
13,31,52.06859996147667
13,32,52.399100575571076
13,33,51.99653379499059
13,34,52.097273719815995
13,35,51.8556203419941
13,36,51.91213348276686
13,37,51.629908898253206
13,38,51.68067265464491
13,39,51.56007420848167
13,40,51.37233522325567
14,10,56.341069600156715
14,11,55.523694161875184
14,12,53.12936323494645
14,13,53.32136985243542
14,14,51.39815480919608
14,15,51.32508148689021
14,16,49.18616646778864
14,17,49.81390825906274
14,18,48.97512389466451
14,19,48.89264299553512
14,20,48.254713569017184
14,21,48.103188827815785
14,22,47.385908484508555
14,23,46.91890743529577
14,24,45.98898611115921
14,25,45.495972821871746
14,26,45.486804831163575
14,27,45.000161141134974
14,28,44.522837750465406
14,29,44.58041788955657
14,30,43.799700494376715
14,31,44.2961214122063
14,32,43.303174370056155
14,33,43.672001480667355
14,34,43.17261773906579
14,35,43.42286211262626
14,36,43.088745406414034
14,37,43.487310230766184
14,38,42.94953257704089
14,39,43.10790265252272
14,40,42.90024714649425
15,10,57.92969138715114
15,11,57.05170535391873
15,12,56.172429713733656
15,13,55.78881462053075
15,14,54.87377581627917
15,15,54.2693051530217
15,16,54.034681797115276
15,17,52.71286500066867
15,18,52.50016306200664
15,19,51.71744677729265
15,20,51.655408981708476
15,21,51.832566821406694
15,22,50.800723935339306
15,23,50.95675885283541
15,24,50.628654854877816
15,25,50.47884377217388
15,26,49.98554250546227
15,27,49.5723118548843
15,28,49.67782094567319
15,29,49.165665020589294
15,30,49.165624269096334
15,31,48.72389921834526
15,32,48.65922002050609
15,33,48.313030075407234
15,34,48.25766134812779
15,35,48.34023406656433
15,36,47.94945386027547
15,37,48.241600348127555
15,38,47.666704516364895
15,39,48.05848414900816
15,40,47.81396449330659
16,10,56.06203558684971
16,11,55.38596331398524
16,12,54.01573694817986
16,13,53.55371615082715
16,14,52.03911601957302
16,15,50.770348102021046
16,16,50.901463398632906
16,17,49.80849287600549
16,18,49.49047847836673
16,19,49.16824410513151
16,20,48.49800012080919
16,21,48.095507783442855
16,22,48.11508869562096
16,23,47.045762897544165
16,24,47.03790117536593
16,25,46.2384457909038
16,26,45.92266829130162
16,27,45.393582807220305
16,28,45.01745605413171
16,29,45.496877567989884
16,30,44.33322384633305
16,31,44.918200459722534
16,32,44.381412884659824
16,33,44.4529550217796
16,34,44.14745850206314
16,35,43.86434893074983
16,36,44.01398231078932
16,37,43.375798420173794
16,38,43.75810911701139
16,39,43.19925461893398
16,40,43.51480085949338
17,10,54.615721498215585
17,11,54.9128457288584
17,12,53.93683549863457
17,13,52.762711894667525
17,14,51.94453559099497
17,15,51.025545135836104
17,16,51.042916330487934
17,17,49.058477044529994
17,18,49.87128514501326
17,19,48.16674508680114
17,20,47.877316983147196
17,21,47.562924374835625
17,22,46.99866399052559
17,23,46.32697346962731
17,24,46.55788501832022
17,25,45.62312951508386
17,26,45.80737679194702
17,27,45.03497904491554
17,28,45.220744301685095
17,29,44.67760436362945
17,30,44.714722680504686
17,31,44.48713997028109
17,32,44.455853646169494
17,33,44.32793093722291
17,34,43.86519399347948
17,35,43.7667099595744
17,36,43.624077484198125
17,37,43.40325552456595
17,38,43.478675004018086
17,39,43.22301413435223
17,40,43.01674639152919
18,10,54.67388409508603
18,11,52.35671180229099
18,12,52.51726972018358
18,13,50.806672982795995
18,14,50.51684645812952
18,15,48.99462887833923
18,16,48.66676458683965
18,17,46.87596971340272
18,18,46.47931045211438
18,19,44.508666335198924
18,20,45.35972431540562
18,21,43.67676317103652
18,22,43.790468883966035
18,23,43.20225117723961
18,24,42.470538435939446
18,25,42.26632587491412
18,26,41.576133500849494
18,27,41.24983038904918
18,28,40.5880965467099
18,29,40.50686500211185
18,30,40.38823393517986
18,31,40.22936291240252
18,32,39.795998562154956
18,33,39.554664669180006
18,34,39.130392716685876
18,35,39.27552577097091
18,36,38.89213692694222
18,37,38.80217953763085
18,38,38.31479730082695
18,39,38.17902034565533
18,40,38.191473088518876
19,10,54.640607619545726
19,11,53.65775227690653
19,12,52.564928927030834
19,13,50.21024255891876
19,14,50.67114173217492
19,15,48.72659697284454
19,16,48.161356411038874
19,17,47.771125610661564
19,18,45.89128608551302
19,19,45.75345748591247
19,20,45.75190257269077
19,21,44.03300471872304
19,22,44.975815169012236
19,23,43.50154158096738
19,24,44.09164095241664
19,25,43.0211310883998
19,26,42.86138655397645
19,27,42.33045291421885
19,28,41.717477321269506
19,29,41.283168792343304
19,30,41.178151883558144
19,31,40.16859770056429
19,32,40.87750955306391
19,33,40.125382281468625
19,34,40.1347896294173
19,35,40.098882435669964
19,36,39.679853286298155
19,37,39.707137052307885
19,38,39.63959435269476
19,39,39.652853138503794
19,40,39.33210573667062
20,10,52.942267923430144
20,11,52.1421253850424
20,12,50.621035526666304
20,13,50.25764973200291
20,14,49.8353945475305
20,15,48.58894600139303
20,16,48.18505155496092
20,17,46.39872654544228
20,18,46.463803535769365
20,19,45.09025212019486
20,20,44.239240824843684
20,21,43.779012672016385
20,22,43.98341579492803
20,23,42.31472222974787
20,24,42.14799369116323
20,25,41.99042766371319
20,26,41.720381798828875
20,27,41.350341236835234
20,28,40.801850092096835
20,29,40.82086088607255
20,30,40.19073830812211
20,31,40.1116868461982
20,32,39.63507775607701
20,33,39.595292702833405
20,34,38.924203144773806
20,35,39.07229576730875
20,36,38.64394780901392
20,37,39.14806677498035
20,38,38.50375750733606
20,39,38.902204424249874
20,40,38.32255196206123
21,10,50.545093749198834
21,11,49.56895289989485
21,12,49.50372897747608
21,13,47.481755539184014
21,14,47.4700500807838
21,15,44.81342729206741
21,16,44.451993836788624
21,17,43.862509928141854
21,18,42.40729666198776
21,19,42.23484851865821
21,20,40.16282269882701
21,21,39.966451477047144
21,22,39.529179866020506
21,23,38.112985188074845
21,24,37.85575983127832
21,25,37.87380659066719
21,26,37.285989974710475
21,27,36.46793796929478
21,28,36.744401131532655
21,29,36.04833583162629
21,30,35.559345326770874
21,31,34.88319158924224
21,32,35.12356316728543
21,33,34.73828685995839
21,34,34.199283353968084
21,35,34.2323761292082
21,36,33.48708717539308
21,37,33.89061635257832
21,38,33.393816079741654
21,39,33.5658725482795
21,40,33.15416608416796
22,10,51.477826566335004
22,11,49.45587718515922
22,12,47.42289698041938
22,13,47.899839870945186
22,14,47.24704268705536
22,15,45.476347641620094
22,16,44.90173703083826
22,17,43.0890939879638
22,18,42.853142677876455
22,19,41.17741811968414
22,20,40.98347037835342
22,21,40.82847402937777
22,22,39.10395315274668
22,23,39.48282173928291
22,24,37.53729830770647
22,25,37.95055565682205
22,26,36.86091179331015
22,27,36.25954816496349
22,28,36.07203970960701
22,29,35.21736254268464
22,30,35.37075224898842
22,31,34.4776295729386
22,32,34.30639809413911
22,33,34.273248940892756
22,34,33.467643393077736
22,35,33.84262364956988
22,36,32.97943459385719
22,37,33.2218586100502
22,38,32.50667807213692
22,39,32.516663394528024
22,40,32.177510835401094
23,10,50.57719034963054
23,11,49.47555283417908
23,12,48.07326724173374
23,13,47.12560344326831
23,14,47.03943724263475
23,15,46.18468865781969
23,16,44.51454813647196
23,17,44.2036138108112
23,18,42.53690895938303
23,19,42.022539100106556
23,20,41.329843180029634
23,21,40.07131813054792
23,22,39.58832639967637
23,23,38.866563360691956
23,24,38.132850567468424
23,25,37.82751519190203
23,26,37.56826182716216
23,27,37.202373407504496
23,28,37.04848161950093
23,29,35.60207737881785
23,30,36.151239719061095
23,31,34.92174771648974
23,32,34.807359537145246
23,33,34.33745551621101
23,34,33.54196235539031
23,35,33.687260878788344
23,36,33.28121419971345
23,37,33.889508727854434
23,38,32.926356095694764
23,39,33.68076505594713
23,40,32.638342081968894
24,10,48.49913327635515
24,11,47.72161418369633
24,12,45.632223385025604
24,13,45.31139064555203
24,14,44.15137005492965
24,15,43.70608090631562
24,16,42.133143001737054
24,17,41.68913704337845
24,18,40.990261626320226
24,19,39.999940293158375
24,20,38.8366052341444
24,21,38.432367012980016
24,22,37.667157553836454
24,23,36.669216289981776
24,24,35.41386677592973
24,25,35.480670756344566
24,26,34.51094087479217
24,27,34.76464220533023
24,28,34.13695609978708
24,29,33.70588174096846
24,30,33.100976889627105
24,31,32.16483720609242
24,32,32.023227058270564
24,33,32.08526474920515
24,34,31.555317090756358
24,35,31.424751293460837
24,36,31.021875841587903
24,37,30.423360706921724
24,38,30.515276884996805
24,39,30.148724658262896
24,40,29.620579513253702
25,10,47.542289538996016
25,11,46.56802603091188
25,12,45.2522152095531
25,13,43.90932855247482
25,14,42.57244459104847
25,15,41.92253557055625
25,16,40.35456937150305
25,17,39.658367518062704
25,18,38.838820626236945
25,19,37.89140174348064
25,20,36.87044455504277
25,21,35.859280435025056
25,22,35.94411349338506
25,23,34.10876071497848
25,24,34.2777431163997
25,25,32.32501535999776
25,26,32.36222326014627
25,27,31.17247453209782
25,28,30.705326562642977
25,29,30.105735296724866
25,30,29.650861081995817
25,31,28.750190499981294
25,32,28.960415145741926
25,33,28.19932497150331
25,34,27.98018436898597
25,35,27.841205448356185
25,36,26.295007116468838
25,37,27.15462299575957
25,38,25.020814828766845
25,39,24.82210802988441
25,40,24.903828435015377
26,10,45.132575917736474
26,11,45.64510964041511
26,12,43.630662197040245
26,13,43.62011308653227
26,14,41.167325461030515
26,15,41.48858403684143
26,16,40.15789567566261
26,17,39.757919488257414
26,18,38.11764859802307
26,19,37.413617624622766
26,20,35.79013154607667
26,21,35.467232282867414
26,22,34.62630026094491
26,23,34.25507820309883
26,24,32.002478362670985
26,25,31.67372634468194
26,26,30.71783445342193
26,27,30.067756322408442
26,28,28.812925306459757
26,29,29.382893808066807
26,30,28.487490906192118
26,31,28.607141807676108
26,32,27.24159106304597
26,33,27.628990262333836
26,34,26.991079521764174
26,35,26.897661486417725
26,36,25.756591372408714
26,37,24.980758444239708
26,38,23.943272244109462
26,39,22.590752440486344
26,40,21.442575484832528
27,10,48.461828984217476
27,11,46.78290096015863
27,12,44.71985388140051
27,13,43.881545149298105
27,14,42.58673768099349
27,15,41.047656188245746
27,16,40.27914427599496
27,17,38.916927497645695
27,18,38.77208329415309
27,19,38.77505007710078
27,20,37.15333286505099
27,21,36.65779281891358
27,22,36.25600245780607
27,23,33.836343685788144
27,24,33.99400695903075
27,25,31.760634171964682
27,26,31.93437938040436
27,27,30.80025206037523
27,28,30.022912035307293
27,29,29.931824605867302
27,30,29.704365376551905
27,31,28.42069887312486
27,32,28.18304875094702
27,33,27.470642072422088
27,34,27.02036361515191
27,35,25.497852456706983
27,36,25.780279616651622
27,37,23.53186938570348
27,38,23.136059116505354
27,39,21.528385401779072
27,40,22.23296667739018
28,10,43.152475035782935
28,11,43.214852168071054
28,12,41.808147129314754
28,13,40.41970021671853
28,14,39.7060529009621
28,15,38.22830370915823
28,16,36.41759901889609
28,17,36.61245686589145
28,18,34.96677842820564
28,19,32.75688147822266
28,20,32.86334951046385
28,21,32.13333733465768
28,22,30.528098418675675
28,23,29.84049908173644
28,24,29.281284827816968
28,25,27.763202775662844
28,26,27.465717676609014
28,27,25.802357444351003
28,28,25.48736200448173
28,29,24.889892677266104
28,30,24.262441999390763
28,31,23.979278551421572
28,32,22.40817183963284
28,33,21.78349345790479
28,34,21.359505069784085
28,35,20.423225588145222
28,36,18.73808457627984
28,37,18.775784950335183
28,38,18.202616621252325
28,39,15.5323279225572
28,40,15.33798701966294
29,10,44.80985314905941
29,11,42.3872003063786
29,12,40.08310264270425
29,13,40.28485123768174
29,14,38.210157606071505
29,15,37.653634166916625
29,16,37.0382740431363
29,17,34.01792287952662
29,18,35.13128460028167
29,19,32.83302764603708
29,20,31.727392838305253
29,21,31.638484824178594
29,22,29.22830755738518
29,23,28.831192829112034
29,24,28.352940246651603
29,25,26.592119740677354
29,26,26.40081917278239
29,27,25.28870452599888
29,28,23.18869483000315
29,29,23.239437003044163
29,30,23.04220189550261
29,31,21.618520849573088
29,32,21.28102653672207
29,33,20.540569645297218
29,34,19.543959139260252
29,35,19.957007436806954
29,36,17.942863559350386
29,37,17.40273365394179
29,38,16.096706882150915
29,39,14.762036505187462
29,40,13.349714757791524
30,10,42.98473509078167
30,11,41.67593274249995
30,12,39.781824108939624
30,13,37.881301623468666
30,14,37.55659090438831
30,15,36.57915674425901
30,16,35.767074331165986
30,17,34.442479278085045
30,18,32.073236655597576
30,19,32.936485242512816
30,20,31.074284393721236
30,21,30.68472985722941
30,22,29.473297258232794
30,23,28.288173882187756
30,24,26.456308226854
30,25,26.63775472614253
30,26,24.82106575699296
30,27,23.57827676112663
30,28,23.096970214734256
30,29,22.76876719036206
30,30,20.55878309642122
30,31,21.190277637960666
30,32,20.332658208082666
30,33,18.622004916523984
30,34,16.525314563579414
30,35,15.86029780063826
30,36,15.165338515277842
30,37,13.347359305339852
30,38,11.685533782913176
30,39,10.338375765129152
30,40,7.5700319625571115
31,10,42.65889705780148
31,11,41.588427753876964
31,12,39.505239771410324
31,13,40.12564906991285
31,14,36.74219924437647
31,15,35.26815036326605
31,16,35.23942924366716
31,17,33.096191151232674
31,18,33.18863407183927
31,19,31.46602532488477
31,20,30.671676630080867
31,21,28.991271635938713
31,22,28.752878592298536
31,23,28.197173273499526
31,24,26.099898280140557
31,25,26.94394081343711
31,26,24.845434140176337
31,27,23.84245620178988
31,28,22.566261588870198
31,29,22.990461473834916
31,30,21.470161401714687
31,31,21.969095036112112
31,32,20.492233119158797
31,33,19.050224764811816
31,34,19.231866281833028
31,35,16.175346523803032
31,36,14.349556856367139
31,37,11.703931887384654
31,38,12.605460321036656
31,39,8.893121696787892
31,40,8.352850117915802
32,10,42.41082126465391
32,11,38.85834948961917
32,12,38.69772964465621
32,13,36.13073143495784
32,14,36.723323081410186
32,15,34.180845610324106
32,16,33.153654476931344
32,17,30.517730256727738
32,18,30.23266264003252
32,19,29.35356019748523
32,20,28.956535629342095
32,21,27.121515531572033
32,22,26.532305887689848
32,23,25.1562660893133
32,24,23.764858601686775
32,25,22.539174959202576
32,26,22.49251575304178
32,27,20.452764701362057
32,28,19.080005037796667
32,29,17.526877089236148
32,30,17.7518733388071
32,31,15.376224972653308
32,32,15.705870962086141
32,33,14.379691026908837
32,34,12.665128878558003
32,35,12.45314770636497
32,36,9.216682257326196
32,37,7.306438239562837
32,38,6.206993188960709
32,39,3.8080383235140554
32,40,0.6375331181773445
33,10,39.86482260454026
33,11,40.55948117802943
33,12,37.93336856321433
33,13,35.44412381907577
33,14,35.12077019872675
33,15,32.68046295960731
33,16,32.211922504620766
33,17,30.403487885806083
33,18,31.04380931587186
33,19,29.01044206401317
33,20,28.609722647162684
33,21,27.07487532305674
33,22,25.202382953193236
33,23,24.987273296895285
33,24,23.94712599208803
33,25,22.573541536727163
33,26,20.187466115920508
33,27,20.312494086224927
33,28,19.50758403899361
33,29,18.109313206215635
33,30,18.02523591676796
33,31,16.98154216025937
33,32,15.650136536819339
33,33,15.147722398533196
33,34,15.28140698300231
33,35,12.745991629486584
33,36,11.376998874914602
33,37,9.79349338879323
33,38,9.21992768024782
33,39,5.898906756348404
33,40,0.00000000019401384719087067
34,10,39.96024858497652
34,11,39.39065504171079
34,12,37.08388569606824
34,13,34.764262661733476
34,14,34.33388031584275
34,15,32.709240338431094
34,16,29.692702760188222
34,17,30.071819589889248
34,18,29.033273290382887
34,19,28.470948768989846
34,20,26.509470011179893
34,21,26.742475234329966
34,22,26.71217662360265
34,23,23.218887994314922
34,24,23.34440765806961
34,25,21.590903645095707
34,26,20.079085588082982
34,27,19.238946878211713
34,28,18.533891641130307
34,29,16.24858127983931
34,30,16.349401676519037
34,31,14.478312962841319
34,32,12.660442417921619
34,33,10.640671627654571
34,34,11.082227382208673
34,35,7.345774116368116
34,36,4.1399098573090285
34,37,3.3998873877905624
34,38,1.6399029207750397
34,39,0.000000000012630978869536872
34,40,0.00000001696770828139494
35,10,38.55525048083844
35,11,38.707079247244835
35,12,35.58829581243068
35,13,34.615681747774794
35,14,32.53555837578065
35,15,32.1171626670049
35,16,30.307439977127444
35,17,29.3563779843308
35,18,27.111933413644124
35,19,27.33557636980702
35,20,26.11994208573523
35,21,24.566420053117792
35,22,23.73342713312616
35,23,23.73564965474874
35,24,20.879633847482854
35,25,21.418946363097977
35,26,19.14640478710388
35,27,17.627015253282764
35,28,15.298846184579826
35,29,15.933434434455163
35,30,14.319530770612127
35,31,13.475021457527484
35,32,12.32159673286098
35,33,10.120940533951451
35,34,9.420213146167267
35,35,6.3530132651926055
35,36,6.597405362210785
35,37,3.8559237509954043
35,38,0.0000007730531195627971
35,39,0.000000000011534005528939894
35,40,0.00000000029271715550323496
36,10,37.05158017705278
36,11,35.81557797642228
36,12,32.848035211200816
36,13,33.82077348922089
36,14,30.07745323156707
36,15,29.705750187048157
36,16,28.1919816281398
36,17,27.137696633876008
36,18,25.325955754195274
36,19,25.272985173851367
36,20,23.748543975482846
36,21,23.272317366913523
36,22,21.959481510523403
36,23,22.080416134878803
36,24,20.276940502420626
36,25,19.198329393062313
36,26,18.488251421712217
36,27,16.96369797723129
36,28,16.07131788698635
36,29,14.884730072364006
36,30,13.574980277275369
36,31,10.97239564199409
36,32,10.04641213854975
36,33,6.95276737117997
36,34,5.00113666225533
36,35,2.122098307771694
36,36,0.000008101877291096276
36,37,0.000000000017339067798427032
36,38,0.00000000005729954582724301
36,39,0.000000000004632155969153953
36,40,0.0000000000790653541577461
37,10,37.89144801052342
37,11,34.932621644066444
37,12,32.79656598137158
37,13,30.292920358606423
37,14,29.723154484861013
37,15,27.074425954398578
37,16,26.325520270999437
37,17,25.66388079427643
37,18,23.289592822399968
37,19,23.145364531719032
37,20,21.82360830790247
37,21,21.09554510765331
37,22,20.184940000789993
37,23,19.21291871576812
37,24,18.836864499902468
37,25,17.431939423049936
37,26,14.978887598166752
37,27,16.247948434824185
37,28,13.160509367703433
37,29,12.97000693155879
37,30,11.702274575458562
37,31,9.721886181768472
37,32,8.1386904565581
37,33,6.158354057577471
37,34,3.6383802503855893
37,35,2.345103579596228
37,36,0.000000000015658457148185076
37,37,0.000000000006788227320406674
37,38,0.0000000005235326108538588
37,39,0.000000000003517277859562081
37,40,0.000000000005442551533906893
38,10,34.14778494596024
38,11,34.79565196375935
38,12,31.543573057028002
38,13,30.88958235550398
38,14,28.4839756383248
38,15,26.90423602120236
38,16,23.40113497263645
38,17,24.063166810183425
38,18,22.65963280544142
38,19,22.03420106505807
38,20,18.67302397058749
38,21,20.267931792752197
38,22,18.399225605914225
38,23,17.532530813896198
38,24,15.747590907469306
38,25,14.881862649785282
38,26,13.45505156646462
38,27,12.20767907466458
38,28,10.826259028965367
38,29,10.491689646955363
38,30,8.28126857391041
38,31,5.751487405884185
38,32,4.319750264852739
38,33,1.8504587802750798
38,34,2.8059085620531454
38,35,0.000000000010067151733324429
38,36,0.000000000012909328018948093
38,37,0.000000000004517374997354406
38,38,0.0000000018854564235456505
38,39,0.000000000003790710820924614
38,40,0.000000000006439622692314368
39,10,33.60346240673698
39,11,32.441493738216046
39,12,28.287547635971553
39,13,28.971051785702965
39,14,27.314475667824375
39,15,25.813945152500715
39,16,24.550350199750714
39,17,22.675073998085995
39,18,20.719070189079176
39,19,21.693789511393987
39,20,19.234032024230338
39,21,19.587128759815762
39,22,19.060909081121054
39,23,17.2164719025552
39,24,14.979812204106597
39,25,16.196205042921314
39,26,12.982420239980751
39,27,13.070572332719706
39,28,10.187161146664378
39,29,8.704480485520188
39,30,8.026280790944902
39,31,5.4551772129097555
39,32,1.8551652590905803
39,33,2.822231101650888
39,34,0.00000000003498542990808211
39,35,0.000000000018525406772600855
39,36,0.000000000008392708217366953
39,37,0.000000000004370856097517602
39,38,0.0000000005441367703795363
39,39,0.000000000004950477310103266
39,40,0.000000000011055039287206504
40,10,32.7251869082062
40,11,32.99068238312855
40,12,28.583526414740607
40,13,28.246081357033543
40,14,22.951789475861254
40,15,24.742890377836957
40,16,20.89992292601965
40,17,21.60643996080577
40,18,19.02358851242808
40,19,20.083104420060142
40,20,17.138000625465676
40,21,18.30377425622923
40,22,14.852004670918221
40,23,13.954623097890966
40,24,13.081403934900079
40,25,12.385750987959389
40,26,11.135319663750774
40,27,9.930462467520163
40,28,8.274225234760609
40,29,6.289865235369961
40,30,5.422996635861335
40,31,3.089369075331681
40,32,2.626594771638638
40,33,0.00000000001727446556734513
40,34,1.9165646864832275
40,35,0.000000000005457120973730882
40,36,0.000000000007670625744803941
40,37,0.000000000004282363359994638
40,38,0.00000000000679725103408386
40,39,0.0000000000046128600017464366
40,40,0.000000000003858387807664452
41,10,32.120581946302096
41,11,31.1007830192822
41,12,28.238449263223746
41,13,26.077457101994742
41,14,24.956874557695553
41,15,22.73925143066157
41,16,20.80524619644452
41,17,20.27165862415148
41,18,17.748850538989135
41,19,18.815926337201308
41,20,16.30544897958062
41,21,16.64585200139742
41,22,15.131200000190095
41,23,14.944562572330913
41,24,11.687339968492418
41,25,12.550383852738412
41,26,9.976519816859083
41,27,9.085818604870589
41,28,7.62616888857695
41,29,5.657580958310757
41,30,4.247459265541752
41,31,3.4048840137931915
41,32,0.00000000003133185132372695
41,33,0.000000000010035421502124896
41,34,0.00000027767238033437655
41,35,0.000000000010066919331136296
